category,Days,Month,Year,city
Unhealthy,0,8,2016,Shanghai
Very Unhealthy,0,8,2016,Shanghai
Hazardous,0,8,2016,Shanghai
Good,23,9,2016,Shanghai
Moderate,5,9,2016,Shanghai
Unhealthy for Sensitive Groups,0,9,2016,Shanghai
Unhealthy,0,9,2016,Shanghai
Very Unhealthy,0,9,2016,Shanghai
Hazardous,0,9,2016,Shanghai
Good,30,10,2016,Shanghai
Moderate,0,10,2016,Shanghai
Unhealthy for Sensitive Groups,0,10,2016,Shanghai
Unhealthy,0,10,2016,Shanghai
Very Unhealthy,0,10,2016,Shanghai
Hazardous,0,10,2016,Shanghai
Good,16,11,2016,Shanghai
Moderate,12,11,2016,Shanghai
Unhealthy for Sensitive Groups,2,11,2016,Shanghai
Unhealthy,0,11,2016,Shanghai
Very Unhealthy,0,11,2016,Shanghai
Hazardous,0,11,2016,Shanghai
Good,16,12,2016,Shanghai
Moderate,8,12,2016,Shanghai
Unhealthy for Sensitive Groups,6,12,2016,Shanghai
Unhealthy,1,12,2016,Shanghai
Very Unhealthy,0,12,2016,Shanghai
Hazardous,0,12,2016,Shanghai
